Rozliseni;Cislo;VS;Dodavatel;IcDodavatele;UcelPlatby;DatumPrijeti;DatumSplatnosti;DatumUhrady;Mena;Fakturovano;Uhrada;KodStredisko;NazevStredisko;KodRozpPolozka;NazevRozpPolozka
"F";523;110200981;"Agentura PANCÉŘ s.r.o.";"26155788";"OSTRAHA";05.05.2020;21.05.2020;15.05.2020;"CZK";218114.60;218114.60;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5169";"Nákup ostatních služeb"
"F";524;110200982;"Agentura PANCÉŘ s.r.o.";"26155788";"OSTRAHA";05.05.2020;14.05.2020;15.05.2020;"CZK";308356.40;308356.40;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5169";"Nákup ostatních služeb"
"F";534;20200317;"PREMIO INVEST s.r.o.";"26746590";"ÚKLIDOVÉ SLUŽBY 04/20";06.05.2020;30.05.2020;19.05.2020;"CZK";155606.00;155606.00;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5169";"Nákup ostatních služeb"
"F";535;1727866472;"CCS ČESKÁ SPOLEČNOST PRO P.K.";"27916693";"PH 04/20";06.05.2020;14.05.2020;15.05.2020;"CZK";86271.11;86271.11;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"";""
"F";546;8003322539;"Vodafone Czech Republic a.s.";"25788001";"SLUŽBY 04/20";12.05.2020;30.05.2020;19.05.2020;"CZK";60098.69;60098.69;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5162";"Služby elektronických komunikací"
"F";551;9464002348;"T-MOBIL CZECH REPUBLIC AS";"64949681";"SLUŽBY";13.05.2020;03.06.2020;19.05.2020;"CZK";190393.50;190393.50;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5162";"Služby elektronických komunikací"
"F";555;11200684;"YOUR SYSTEM, spol.s r.o.";"00174939";"SLUŽBY";13.05.2020;02.06.2020;19.05.2020;"CZK";179842.30;179842.30;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";557;200100078;"OFFICE-CENTRUM s.r.o.";"27143562";"SERVISNÍ A MATERIÁLOVÁ PODPORA";14.05.2020;09.06.2020;19.05.2020;"CZK";122320.72;122320.72;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";562;1102792105;"EP ENERGY TRADING, a.s.";"27386643";"EL. ENERGIE";14.05.2020;27.05.2020;29.05.2020;"CZK";79341.00;79341.00;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5154";"Elektrická energie"
"F";566;2020170335;"Metrostav Facility s.r.o.";"25731424";"SERVISNÍ A MATERIÁLOVÁ PODPORA 04/20";18.05.2020;07.06.2020;29.05.2020;"CZK";125437.07;125437.07;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5171";"Opravy a udržování"
"F";574;9040366268;"PRAŽSKÁ ENERGETIKA AS";"60193913";"EL. ENERGIE";20.05.2020;02.06.2020;29.05.2020;"CZK";72449.86;72449.86;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5154";"Elektrická energie"
"F";575;4102290401;"PRAŽ.PLYNÁRENSKÁ AS";"60193492";"ZEMNÍ PLYN";20.05.2020;01.06.2020;29.05.2020;"CZK";98553.41;98553.41;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5153";"Plyn"
"F";576;4102280401;"PRAŽ.PLYNÁRENSKÁ AS";"60193492";"ZEMNÍ PLYN";20.05.2020;01.06.2020;29.05.2020;"CZK";57924.87;57924.87;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5153";"Plyn"
"F";578;112000715;"ARYKA IN-WEST AS";"26722411";"ÚDRŽBA BEZPEČNOSTNÍCH SYSTÉMŮ";20.05.2020;18.06.2020;10.06.2020;"CZK";79091.65;79091.65;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5169";"Nákup ostatních služeb"
"F";584;22000330;"MÚZO PRAHA SRO";"49622897";"ZPRACOVÁNÍ ÚČETNÍCH VÝKAZŮ 03/20";21.05.2020;15.06.2020;29.05.2020;"CZK";72691.99;72691.99;"420";"OE  / ODDĚLENÍ ROZPOČTU";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";588;20002;"Manych Vladimír";"13121472";"MALÍŘSKÉ PRÁCE";22.05.2020;10.06.2020;05.06.2020;"CZK";81874.00;81874.00;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5169";"Nákup ostatních služeb"
"F";594;5208088694;"SODEXHO PASS ČR AS";"61860476";"STRAVENKY";25.05.2020;12.06.2020;05.06.2020;"CZK";1500000.00;1500000.00;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5169";"Nákup ostatních služeb"
"F";603;112865;"FEMAT Radotín s.r.o.";"17048818";"OPRAVA VOZU";29.05.2020;19.06.2020;10.06.2020;"CZK";74881.00;74881.00;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5171";"Opravy a udržování"
"F";610;20145;"MABI Information Security";"24760005";"SLUŽBY";01.06.2020;21.06.2020;19.06.2020;"CZK";87703.22;87703.22;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";611;2000001887;"COMPAREX CZ s.r.o.";"63077124";"SLUŽBY";01.06.2020;28.06.2020;19.06.2020;"CZK";59895.00;59895.00;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";615;110201237;"Agentura PANCÉŘ s.r.o.";"26155788";"OSTRAHA BUDOV - NP";01.06.2020;14.06.2020;10.06.2020;"CZK";312685.78;312685.78;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5169";"Nákup ostatních služeb"
"F";616;110201238;"Agentura PANCÉŘ s.r.o.";"26155788";"OSTRAHA BUDOV - MH";01.06.2020;21.06.2020;10.06.2020;"CZK";225939.67;225939.67;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5169";"Nákup ostatních služeb"
"F";624;1727866535;"CCS ČESKÁ SPOLEČNOST PRO P.K.";"27916693";"PH 05/20";04.06.2020;14.06.2020;10.06.2020;"CZK";81812.36;81812.36;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5156";"Pohonné hmoty a maziva"
"F";631;20200488;"PREMIO INVEST s.r.o.";"26746590";"ÚKLIDOVÉ SLUŽBY 05/20";05.06.2020;04.07.2020;15.06.2020;"CZK";253651.09;253651.09;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5169";"Nákup ostatních služeb"
"F";633;200100345;"OFFICE-CENTRUM s.r.o.";"27143562";"SERVISNÍ A MATERIÁLOVÁ PODPORA";05.06.2020;10.07.2020;19.06.2020;"CZK";156627.12;156627.12;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";660;9464002348;"T-MOBIL CZECH REPUBLIC AS";"64949681";"SLUŽBY";09.06.2020;01.07.2020;19.06.2020;"CZK";202662.90;202662.90;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5162";"Služby elektronických komunikací"
"F";662;1102792106;"EP ENERGY TRADING, a.s.";"27386643";"EL. ENERGIE";09.06.2020;24.06.2020;19.06.2020;"CZK";88475.00;88475.00;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5154";"Elektrická energie"
"F";671;8105009305;"WOLTERS KLUWER ČR, A.S.";"63077639";"SLUŽBY";10.06.2020;04.07.2020;19.06.2020;"CZK";177531.00;177531.00;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";682;2020170443;"Metrostav Facility s.r.o.";"25731424";"SERVISNÍ A MATERIÁLOVÁ PODPORA 05/20";11.06.2020;04.07.2020;26.06.2020;"CZK";128581.86;128581.86;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5171";"Opravy a udržování"
"F";688;8105009306;"WOLTERS KLUWER ČR, A.S.";"63077639";"SLUŽBY";11.06.2020;25.06.2020;19.06.2020;"CZK";54000.00;54000.00;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";689;20013;"EEIP, A.S.";"15891534";"ZPRACOVÁNÍ ANALÝZY";11.06.2020;26.06.2020;18.06.2020;"CZK";154880.00;154880.00;"230";"SOAP  /  SAM. ODDĚLENÍ AUTORSKÉHO PRÁVA";"5166";"Konzultační, poradenské a právní služby"
"F";692;8003390410;"Vodafone Czech Republic a.s.";"25788001";"SLUŽBY 05/20";15.06.2020;30.06.2020;24.06.2020;"CZK";55097.31;55097.31;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5162";"Služby elektronických komunikací"
"F";693;9050366992;"PRAŽSKÁ ENERGETIKA AS";"60193913";"EL. ENERGIE";15.06.2020;30.06.2020;26.06.2020;"CZK";72356.28;72356.28;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5154";"Elektrická energie"
"F";700;4102290501;"PRAŽ.PLYNÁRENSKÁ AS";"60193492";"ZEMNÍ PLYN";17.06.2020;29.06.2020;26.06.2020;"CZK";99622.20;99622.20;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5153";"Plyn"
"F";741;2020012049;"GORDIC spol. s r.o.";"47903783";"SLUŽBY";26.06.2020;11.07.2020;08.07.2020;"CZK";79860.00;79860.00;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";750;2020012040;"GORDIC spol. s r.o.";"47903783";"SLUŽBY";26.06.2020;11.07.2020;08.07.2020;"CZK";136518.25;136518.25;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";751;2020012041;"GORDIC spol. s r.o.";"47903783";"SLUŽBY";26.06.2020;11.07.2020;13.07.2020;"CZK";138787.00;138787.00;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";752;2020012042;"GORDIC spol. s r.o.";"47903783";"SLUŽBY";26.06.2020;11.07.2020;13.07.2020;"CZK";58080.00;58080.00;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5169";"Nákup ostatních služeb"
"F";755;2020012045;"GORDIC spol. s r.o.";"47903783";"SLUŽBY";26.06.2020;11.07.2020;13.07.2020;"CZK";54450.00;54450.00;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";758;2020012048;"GORDIC spol. s r.o.";"47903783";"SLUŽBY";26.06.2020;11.07.2020;08.07.2020;"CZK";68145.99;68145.99;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";759;200100006;"RSOF s.r.o.";"28135679";"SLUŽBY 05/20";27.06.2020;16.07.2020;07.07.2020;"CZK";89422.63;89422.63;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";760;200100005;"RSOF s.r.o.";"28135679";"SLUŽBY 04/20";29.06.2020;24.06.2020;07.07.2020;"CZK";95590.00;95590.00;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";770;110201494;"Agentura PANCÉŘ s.r.o.";"26155788";"OSTRAHA BUDOV - NP";30.06.2020;14.07.2020;16.07.2020;"CZK";84608.04;84608.04;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5169";"Nákup ostatních služeb"
"F";771;110201493;"Agentura PANCÉŘ s.r.o.";"26155788";"OSTRAHA BUDOV - MH";30.06.2020;21.07.2020;20.07.2020;"CZK";57942.06;57942.06;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5169";"Nákup ostatních služeb"
"F";778;20173;"MABI Information Security";"24760005";"SLUŽBY";01.07.2020;21.07.2020;08.07.2020;"CZK";87703.22;87703.22;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";782;201031;"Monitor Cz, s. r. o.";"26142104";"PŘEDPLATNÉ";02.07.2020;30.07.2020;20.07.2020;"CZK";92581.00;92581.00;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5136";"Knihy, učební pomůcky a tisk"
"F";795;200100006;"RSOF s.r.o.";"28135679";"SLUŽBY 05/20";07.07.2020;16.07.2020;;"CZK";89422.63;;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"";""
"F";799;1727866603;"CCS ČESKÁ SPOLEČNOST PRO P.K.";"27916693";"PH 06/20";08.07.2020;14.07.2020;20.07.2020;"CZK";87349.50;87349.50;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5156";"Pohonné hmoty a maziva"
"F";810;2050217;"Českomor.komodit. burza Kladno";"49546392";"POPLATEK ZA UZAVŘENÉ OBCHODY";10.07.2020;30.07.2020;21.07.2020;"CZK";485137.00;485137.00;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5179";"Ostatní nákupy jinde nezařazené"
"F";822;200100686;"OFFICE-CENTRUM s.r.o.";"27143562";"SERVISNÍ A MATERIÁLOVÁ PODPORA";10.07.2020;10.08.2020;17.07.2020;"CZK";212636.20;212636.20;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";823;200041;"PROSPEKSA, a.s.";"26421542";"ODMĚNA ZA ZASTUPOVÁNÍ NA BURZE";10.07.2020;31.07.2020;20.07.2020;"CZK";240790.00;240790.00;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5169";"Nákup ostatních služeb"
"F";826;9464002348;"T-MOBIL CZECH REPUBLIC AS";"64949681";"SLUŽBY";13.07.2020;28.07.2020;21.07.2020;"CZK";199420.10;199420.10;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5162";"Služby elektronických komunikací"
"F";829;300000132;"ASD SOFTWARE SRO";"62363930";"SLUŽBY II.Q 2020";13.07.2020;31.07.2020;17.07.2020;"CZK";60621.00;60621.00;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";832;2020201196;"C SYSTEM CZ a.s.";"27675645";"ZBOŽÍ";14.07.2020;12.08.2020;29.07.2020;"CZK";687970.00;687970.00;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5137";"Drobný hmotný dlouhodobý majetek"
"F";835;2200554;"MT Legal s.r.o., advokátní";"28305043";"PRÁVNÍ SLUŽBY";14.07.2020;11.08.2020;21.07.2020;"CZK";108900.00;108900.00;"443";"OE  /  ODDĚLENÍ INVESTIC";"5166";"Konzultační, poradenské a právní služby"
"F";840;8003416618;"Vodafone Czech Republic a.s.";"25788001";"SLUŽBY 06/20";14.07.2020;30.07.2020;23.07.2020;"CZK";59358.56;59358.56;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5162";"Služby elektronických komunikací"
"F";849;2010539;"HYGOTREND, s.r.o.";"62959093";"ZBOŽÍ";15.07.2020;30.07.2020;23.07.2020;"CZK";91155.35;91155.35;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5139";"Nákup materiálu jinde nezařazený"
"F";856;1201179;"Indus Praha, s.r.o.";"24210668";"OSTRAHA MH";16.07.2020;21.07.2020;;"CZK";190245.28;;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"";""
"F";857;2020170525;"Metrostav Facility s.r.o.";"25731424";"SLUŽBY 06/20";16.07.2020;08.08.2020;27.07.2020;"CZK";142363.76;142363.76;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5171";"Opravy a udržování"
"F";858;1201178;"Indus Praha, s.r.o.";"24210668";"OSTRAHA NP";17.07.2020;21.07.2020;23.07.2020;"CZK";213594.65;213594.65;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5169";"Nákup ostatních služeb"
"F";859;1102792107;"EP ENERGY TRADING, a.s.";"27386643";"EL. ENERGIE";17.07.2020;29.07.2020;28.07.2020;"CZK";96166.00;96166.00;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5154";"Elektrická energie"
"F";860;9060368901;"PRAŽSKÁ ENERGETIKA AS";"60193913";"EL. ENERGIE";17.07.2020;31.07.2020;28.07.2020;"CZK";75416.14;75416.14;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5154";"Elektrická energie"
"F";888;20200697;"PREMIO INVEST s.r.o.";"26746590";"ÚKLIDOVÉ SLUŽBY 06/20";23.07.2020;15.08.2020;14.08.2020;"CZK";155606.00;155606.00;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5169";"Nákup ostatních služeb"
"F";928;20204;"MABI Information Security";"24760005";"SLUŽBY";04.08.2020;21.08.2020;10.08.2020;"CZK";87703.22;87703.22;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";935;1727866676;"CCS ČESKÁ SPOLEČNOST PRO P.K.";"27916693";"PH 07/20";04.08.2020;14.08.2020;14.08.2020;"CZK";107428.78;107428.78;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5156";"Pohonné hmoty a maziva"
"F";945;1201179;"Indus Praha, s.r.o.";"24210668";"OSTRAHA MH";06.08.2020;21.07.2020;11.08.2020;"CZK";190245.28;190245.28;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5169";"Nákup ostatních služeb"
"F";950;1201239;"Indus Praha, s.r.o.";"24210668";"OSTRAHA NP";07.08.2020;21.08.2020;20.08.2020;"CZK";286450.56;286450.56;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5169";"Nákup ostatních služeb"
"F";951;1201240;"Indus Praha, s.r.o.";"24210668";"OSTRAHA MH";07.08.2020;21.08.2020;20.08.2020;"CZK";256446.19;256446.19;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5169";"Nákup ostatních služeb"
"F";958;10141055;"KSP Computer & Services, s.r.o.";"27875849";"SLUŽBY";10.08.2020;05.09.2020;10.09.2020;"CZK";9559605.00;9559605.00;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"";""
"F";959;2001783;"XANADU a.s.";"14498138";"ZBOŽÍ";10.08.2020;04.09.2020;25.08.2020;"CZK";722733.00;722733.00;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5137";"Drobný hmotný dlouhodobý majetek"
"F";962;200100970;"OFFICE-CENTRUM s.r.o.";"27143562";"SERVISNÍ A MATERIÁLOVÁ PODPORA";11.08.2020;09.09.2020;20.08.2020;"CZK";141262.54;141262.54;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";966;20200773;"PREMIO INVEST s.r.o.";"26746590";"ÚKLIDOVÉ SLUŽBY 07/20";11.08.2020;06.09.2020;18.08.2020;"CZK";158973.43;158973.43;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5169";"Nákup ostatních služeb"
"F";972;8003480593;"Vodafone Czech Republic a.s.";"25788001";"SLUŽBY 07/20";11.08.2020;30.08.2020;20.08.2020;"CZK";61165.61;61165.61;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5162";"Služby elektronických komunikací"
"F";980;22000694;"MÚZO PRAHA SRO";"49622897";"ZPRACOVÁNÍ ÚČETNÍCH VÝKAZŮ 06/20";12.08.2020;10.09.2020;19.08.2020;"CZK";55580.14;55580.14;"420";"OE  / ODDĚLENÍ ROZPOČTU";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";985;1102792108;"EP ENERGY TRADING, a.s.";"27386643";"EL. ENERGIE";13.08.2020;26.08.2020;24.08.2020;"CZK";96435.00;96435.00;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5154";"Elektrická energie"
"F";992;9464002348;"T-MOBIL CZECH REPUBLIC AS";"64949681";"SLUŽBY";14.08.2020;02.09.2020;20.08.2020;"CZK";202662.90;202662.90;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5162";"Služby elektronických komunikací"
"F";993;9070371266;"PRAŽSKÁ ENERGETIKA AS";"60193913";"EL. ENERGIE";14.08.2020;01.09.2020;01.09.2020;"CZK";73192.55;73192.55;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5154";"Elektrická energie"
"F";999;2020170646;"Metrostav Facility s.r.o.";"25731424";"SERVISNÍ A MATERIÁLOVÁ PODPORA 07/20";17.08.2020;05.09.2020;03.09.2020;"CZK";134169.64;134169.64;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5171";"Opravy a udržování"
"F";1002;220080009;"Potrusil s.r.o.";"25310119";"NÁBYTEK";18.08.2020;17.09.2020;03.09.2020;"CZK";148992.14;148992.14;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5137";"Drobný hmotný dlouhodobý majetek"
"F";1007;200361;"Simac Technik ČR, a.s.";"63079496";"ANALÝZA WI-FI";20.08.2020;27.08.2020;26.08.2020;"CZK";51062.00;51062.00;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";1019;2020012071;"GORDIC spol. s r.o.";"47903783";"SLUŽBY";24.08.2020;12.09.2020;03.09.2020;"CZK";59895.00;59895.00;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5169";"Nákup ostatních služeb"
"F";1031;2101100040;"Artspect, a.s.";"28123395";"KANCELÁŘSKÁ KŘESLA";01.09.2020;18.09.2020;14.09.2020;"CZK";57233.00;57233.00;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5137";"Drobný hmotný dlouhodobý majetek"
"F";1034;20229;"MABI Information Security";"24760005";"SLUŽBY";01.09.2020;21.09.2020;09.09.2020;"CZK";87703.22;87703.22;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";1042;1320188949;"ACTIVA SRO";"48111198";"KANCELÁŘSKÉ ZBOŽÍ";02.09.2020;27.09.2020;14.09.2020;"CZK";59399.00;59399.00;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5139";"Nákup materiálu jinde nezařazený"
"F";1048;20200889;"PREMIO INVEST s.r.o.";"26746590";"ÚKLIDOVÉ SLUŽBY 08/20";03.09.2020;30.09.2020;14.09.2020;"CZK";155606.00;155606.00;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5169";"Nákup ostatních služeb"
"F";1073;1727866743;"CCS ČESKÁ SPOLEČNOST PRO P.K.";"27916693";"PH 08/20";08.09.2020;14.09.2020;15.09.2020;"CZK";83243.94;83243.94;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5156";"Pohonné hmoty a maziva"
"F";1074;1201500;"Indus Praha, s.r.o.";"24210668";"OSTRAHA MH";08.09.2020;21.09.2020;15.09.2020;"CZK";255285.80;255285.80;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5169";"Nákup ostatních služeb"
"F";1075;1201501;"Indus Praha, s.r.o.";"24210668";"OSTRAHA NP";08.09.2020;21.08.2020;15.09.2020;"CZK";324992.09;324992.09;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5169";"Nákup ostatních služeb"
"F";1080;9464002348;"T-MOBIL CZECH REPUBLIC AS";"64949681";"SLUŽBY";09.09.2020;01.10.2020;15.09.2020;"CZK";202662.90;202662.90;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5162";"Služby elektronických komunikací"
"F";1088;8003568553;"Vodafone Czech Republic a.s.";"25788001";"SLUŽBY 08/20";10.09.2020;30.09.2020;17.09.2020;"CZK";53788.24;53788.24;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5162";"Služby elektronických komunikací"
"F";1106;2020170736;"Metrostav Facility s.r.o.";"25731424";"SERVISNÍ A MATERIÁLOVÁ PODPORA";11.09.2020;03.10.2020;22.09.2020;"CZK";132662.59;132662.59;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5171";"Opravy a udržování"
"F";1112;200101239;"OFFICE-CENTRUM s.r.o.";"27143562";"SERVISNÍ A MATERIÁLOVÁ PODPORA";14.09.2020;10.10.2020;21.09.2020;"CZK";155781.93;155781.93;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";1113;9080373941;"PRAŽSKÁ ENERGETIKA AS";"60193913";"EL. ENERGIE";14.09.2020;30.09.2020;21.09.2020;"CZK";72203.30;72203.30;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5154";"Elektrická energie"
"F";1115;3220;"BOK VLADIMÍR PHDR";"41804546";"OPRAVA NÁBYTKU";15.09.2020;15.10.2020;22.09.2020;"CZK";134939.00;134939.00;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5171";"Opravy a udržování"
"F";1133;1102792109;"EP ENERGY TRADING, a.s.";"27386643";"EL. ENERGIE";21.09.2020;30.09.2020;02.10.2020;"CZK";96149.00;96149.00;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5154";"Elektrická energie"
"F";1147;5218007455;"SODEXHO PASS ČR AS";"61860476";"STRAVENKY";23.09.2020;13.10.2020;12.10.2020;"CZK";1600000.00;1600000.00;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5169";"Nákup ostatních služeb"
"F";1174;2020012081;"GORDIC spol. s r.o.";"47903783";"SLUŽBY";01.10.2020;20.10.2020;08.10.2020;"CZK";136518.25;136518.25;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";1177;2020012084;"GORDIC spol. s r.o.";"47903783";"SLUŽBY";01.10.2020;20.10.2020;08.10.2020;"CZK";68145.99;68145.99;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
