Rozliseni;Cislo;VS;Dodavatel;IcDodavatele;UcelPlatby;DatumPrijeti;DatumSplatnosti;DatumUhrady;Mena;Fakturovano;Uhrada;KodStredisko;NazevStredisko;KodRozpPolozka;NazevRozpPolozka
"F";142;20025;"MABI Information Security";"24760005";"SLUŽBY";03.02.2020;21.02.2020;06.02.2020;"CZK";87703.22;87703.22;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";150;332020;"ICCROM INTESA SANPAOLO S.P.A.-";"";"LORO";03.02.2020;17.02.2020;06.03.2020;"CZK";298929.34;298929.34;"620";"OPP  /  ODBOR PAMÁTKOVÉ PÉČE";"5541";"Členské příspěvky mezinárodním vládním organizacím"
"F";152;1727866287;"CCS ČESKÁ SPOLEČNOST PRO P.K.";"27916693";"PH 01/20";04.02.2020;14.02.2020;11.02.2020;"CZK";114369.93;114369.93;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5362";"Platby daní a poplatků státnímu rozpočtu"
"F";164;2000000437;"COMPAREX CZ s.r.o.";"63077124";"SLUŽBY";05.02.2020;05.03.2020;26.02.2020;"CZK";239580.00;239580.00;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";178;11200104;"YOUR SYSTEM, spol.s r.o.";"00174939";"SLUŽBY";07.02.2020;04.03.2020;26.02.2020;"CZK";179842.30;179842.30;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";186;190101253;"OFFICE-CENTRUM s.r.o.";"27143562";"SERVISNÍ A MATERIÁLOVÁ PODPORA";10.02.2020;19.02.2020;25.02.2020;"CZK";198277.74;198277.74;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";200;8003072255;"Vodafone Czech Republic a.s.";"25788001";"SLUŽBY 01/20";11.02.2020;01.03.2020;26.02.2020;"CZK";61126.82;61126.82;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5162";"Služby elektronických komunikací"
"F";212;65129082;"ŠKODA AUTO AS";"00177041";"NÁJEMNÉ ZA UŽÍVÁNÍ VOZIDLA";12.02.2020;07.03.2020;27.02.2020;"CZK";110250.00;110250.00;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5164";"Nájemné"
"F";213;20200025;"PREMIO INVEST s.r.o.";"26746590";"ÚKLIDOVÉ SLUŽBY 01/20";12.02.2020;06.03.2020;27.02.2020;"CZK";155606.00;155606.00;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5169";"Nákup ostatních služeb"
"F";216;1102792102;"EP ENERGY TRADING, a.s.";"27386643";"EL. ENERGIE";12.02.2020;26.02.2020;27.02.2020;"CZK";102306.00;102306.00;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5154";"Elektrická energie"
